RouteNo,CollDay,DistrictID,Address,ContaminationType,RouteID,WeekNum,Area,Date
AR-6,Mon,206,11366  Orcas Av,D,21,7,East Valley,
AR-6,Tue,206,11206  Cohasset St,J,22,1,East Valley,
AR-6,Tue,206,11301  Cohasset St,J,22,1,East Valley,
AR-6,Tue,206,11520  Saticoy St,I,22,1,East Valley,
AR-6,Tue,206,11552  Leadwell St,C,22,1,East Valley,
AR-6,Tue,206,11552  Leadwell St,J,22,1,East Valley,
AR-6,Tue,206,7242  Kraft Av,D,22,1,East Valley,
AR-6,Tue,206,7313  Kraft Av,G,22,1,East Valley,
AR-6,Tue,206,7313  Kraft Av,J,22,1,East Valley,
AR-6,Tue,206,7346  Kraft Av,D,22,1,East Valley,
AR-6,Tue,206,7428  Farmdale Av,G,22,1,East Valley,
AR-6,Tue,206,7428  Farmdale Av,J,22,1,East Valley,
AR-6,Tue,206,7445  Farmdale Av,P,22,1,East Valley,
AR-6,Tue,206,7523  Kraft Av,E,22,1,East Valley,
AR-6,Tue,206,7632  Camellia Av,D,22,1,East Valley,
AR-6,Tue,206,7636  Kraft Av,J,22,1,East Valley,
AR-6,Tue,206,7636  Kraft Av,Q,22,1,East Valley,
AR-6,Tue,206,7656  Kraft Av,J,22,1,East Valley,
AR-6,Tue,206,7709  Camellia Av,E,22,1,East Valley,
AR-6,Tue,206,7749  Kraft Av,D,22,1,East Valley,
AR-6,Tue,206,11211  Runnymede St,E,22,2,East Valley,
AR-6,Tue,206,11300  Cohasset St,D,22,2,East Valley,
AR-6,Tue,206,11308  Cohasset St,D,22,2,East Valley,
AR-6,Tue,206,11308  Cohasset St,J,22,2,East Valley,
AR-6,Tue,206,11401  Saticoy St,J,22,2,East Valley,
AR-6,Tue,206,11401  Saticoy St,P,22,2,East Valley,
AR-6,Tue,206,11491  Saticoy St,J,22,2,East Valley,
AR-6,Tue,206,11565  Leadwell St,G,22,2,East Valley,
AR-6,Tue,206,7234  Camellia Av,J,22,2,East Valley,
AR-6,Tue,206,7257  Camellia Av,D,22,2,East Valley,
AR-6,Tue,206,7303  Farmdale Av,J,22,2,East Valley,
AR-6,Tue,206,7308  Farmdale Av,J,22,2,East Valley,
AR-6,Tue,206,7317  Camellia Av,D,22,2,East Valley,
AR-6,Tue,206,7317  Camellia Av,E,22,2,East Valley,
AR-6,Tue,206,7317  Camellia Av,J,22,2,East Valley,
AR-6,Tue,206,7327  Camellia Av,J,22,2,East Valley,
AR-6,Tue,206,7332  Farmdale Av,J,22,2,East Valley,
AR-6,Tue,206,7342  Camellia Av,E,22,2,East Valley,
AR-6,Tue,206,7425  Beck Av,D,22,2,East Valley,
AR-6,Tue,206,7425  Beck Av,J,22,2,East Valley,
AR-6,Tue,206,7429  Farmdale Av,J,22,2,East Valley,
AR-6,Tue,206,7431  Beck Av,E,22,2,East Valley,
AR-6,Tue,206,7447  Farmdale Av,J,22,2,East Valley,
AR-6,Tue,206,7502  Beck Av,J,22,2,East Valley,
AR-6,Tue,206,7525  Beck Av,J,22,2,East Valley,
AR-6,Tue,206,7538  Camellia Av,D,22,2,East Valley,
AR-6,Tue,206,7546  Camellia Av,D,22,2,East Valley,
AR-6,Tue,206,7546  Camellia Av,J,22,2,East Valley,
AR-6,Tue,206,7546  Farmdale Av,D,22,2,East Valley,
AR-6,Tue,206,7546  Farmdale Av,J,22,2,East Valley,
AR-6,Tue,206,7623  Camellia Av,D,22,2,East Valley,
AR-6,Tue,206,7635  Farmdale Av,L,22,2,East Valley,
AR-6,Tue,206,7708  Farmdale Av,D,22,2,East Valley,
AR-6,Tue,206,7731  Bonner Av,J,22,2,East Valley,
AR-6,Tue,206,7751  Elmer Av,J,22,2,East Valley,
AR-6,Tue,206,11314  Elkwood St,C,22,3,East Valley,
AR-6,Tue,206,11459 W Saticoy St,D,22,3,East Valley,
AR-6,Tue,206,11459 W Saticoy St,J,22,3,East Valley,
AR-6,Tue,206,11459 W Saticoy St,L,22,3,East Valley,
AR-6,Tue,206,7212  Beck Av,I,22,3,East Valley,
AR-6,Tue,206,7247  Camellia Av,D,22,3,East Valley,
AR-6,Tue,206,7247  Camellia Av,J,22,3,East Valley,
AR-6,Tue,206,7317  Farmdale Av,D,22,3,East Valley,
AR-6,Tue,206,7317  Farmdale Av,Q,22,3,East Valley,
AR-6,Tue,206,7333  Farmdale Av,E,22,3,East Valley,
AR-6,Tue,206,7333  Farmdale Av,I,22,3,East Valley,
AR-6,Tue,206,7333  Farmdale Av,N,22,3,East Valley,
AR-6,Tue,206,7342  Kraft Av,D,22,3,East Valley,
AR-6,Tue,206,7342  Kraft Av,J,22,3,East Valley,
AR-6,Tue,206,7403  Kraft Av,D,22,3,East Valley,
AR-6,Tue,206,7403  Kraft Av,J,22,3,East Valley,
AR-6,Tue,206,7418  Kraft Av,J,22,3,East Valley,
AR-6,Tue,206,7425  Beck Av,D,22,3,East Valley,
AR-6,Tue,206,7425  Beck Av,J,22,3,East Valley,
AR-6,Tue,206,7432  Farmdale Av,J,22,3,East Valley,
AR-6,Tue,206,7438  Farmdale Av,J,22,3,East Valley,
AR-6,Tue,206,7459  Kraft Av,D,22,3,East Valley,
AR-6,Tue,206,7519  Beck Av,D,22,3,East Valley,
AR-6,Tue,206,7519  Beck Av,J,22,3,East Valley,
AR-6,Tue,206,7635  Kraft Av,D,22,3,East Valley,
AR-6,Tue,206,7643  Farmdale Av,G,22,3,East Valley,
AR-6,Tue,206,7643  Farmdale Av,J,22,3,East Valley,
AR-6,Tue,206,7700  Case Av,J,22,3,East Valley,
AR-6,Tue,206,7707  Elmer Av,C,22,3,East Valley,
AR-6,Tue,206,7707  Elmer Av,D,22,3,East Valley,
AR-6,Tue,206,7712  Klump Av,J,22,3,East Valley,
AR-6,Tue,206,7716  Farmdale Av,D,22,3,East Valley,
AR-6,Tue,206,7716  Farmdale Av,N,22,3,East Valley,
AR-6,Tue,206,7720  Case Av,D,22,3,East Valley,
AR-6,Tue,206,7721  Case Av,E,22,3,East Valley,
AR-6,Tue,206,7727  Bakman Av,E,22,3,East Valley,
AR-6,Tue,206,7731  Elmer Av,E,22,3,East Valley,
AR-6,Tue,206,7741  Farmdale Av,D,22,3,East Valley,
AR-6,Tue,206,7741  Farmdale Av,N,22,3,East Valley,
AR-6,Tue,206,7747  Klump Av,C,22,3,East Valley,
AR-6,Tue,206,7747  Klump Av,D,22,3,East Valley,
AR-6,Tue,206,7752  Bakman Av,E,22,3,East Valley,
AR-6,Tue,206,7752  Bakman Av,J,22,3,East Valley,
AR-6,Tue,206,11207  Valerio St,R,22,4,East Valley,
AR-6,Tue,206,11213  Valerio St,D,22,4,East Valley,
AR-6,Tue,206,11213  Valerio St,H,22,4,East Valley,
AR-6,Tue,206,11221  Lull St,J,22,4,East Valley,
AR-6,Tue,206,11255  Lull St,D,22,4,East Valley,
AR-6,Tue,206,11301  Valerio St,C,22,4,East Valley,
AR-6,Tue,206,11441  Saticoy St,Q,22,4,East Valley,
AR-6,Tue,206,11459  Saticoy St,J,22,4,East Valley,
AR-6,Tue,206,7316  Farmdale Av,D,22,4,East Valley,
AR-6,Tue,206,7327  Farmdale Av,E,22,4,East Valley,
AR-6,Tue,206,7333  Farmdale Av,E,22,4,East Valley,
AR-6,Tue,206,7449  Kraft Av,C,22,4,East Valley,
AR-6,Tue,206,7449  Kraft Av,E,22,4,East Valley,
AR-6,Tue,206,7451  Kraft Av,D,22,4,East Valley,
AR-6,Tue,206,7523  Kraft Av,E,22,4,East Valley,
AR-6,Tue,206,7645  Farmdale Av,E,22,4,East Valley,
AR-6,Tue,206,7645  Farmdale Av,Q,22,4,East Valley,
AR-6,Tue,206,7648  Camellia Av,N,22,4,East Valley,
AR-6,Tue,206,7651  Farmdale Av,J,22,4,East Valley,
AR-6,Tue,206,7731  Elmer Av,I,22,4,East Valley,
AR-6,Tue,206,11221  Lull St,E,22,5,East Valley,
AR-6,Tue,206,11221  Lull St,J,22,5,East Valley,
AR-6,Tue,206,11236  Cohasset St,D,22,5,East Valley,
AR-6,Tue,206,11243  Lull St,C,22,5,East Valley,
AR-6,Tue,206,11301  Cohasset St,D,22,5,East Valley,
AR-6,Tue,206,11312  Cohasset St,D,22,5,East Valley,
AR-6,Tue,206,11313  Lull St,J,22,5,East Valley,
AR-6,Tue,206,11457  Saticoy St,J,22,5,East Valley,
AR-6,Tue,206,7222  Camellia Av,D,22,5,East Valley,
AR-6,Tue,206,7247  Camellia Av,J,22,5,East Valley,
AR-6,Tue,206,7302  Farmdale Av,D,22,5,East Valley,
AR-6,Tue,206,7306  Farmdale Av,E,22,5,East Valley,
AR-6,Tue,206,7313  Farmdale Av,G,22,5,East Valley,
AR-6,Tue,206,7700  Camellia Av,D,22,5,East Valley,
AR-6,Tue,206,7700  Camellia Av,J,22,5,East Valley,
AR-6,Tue,206,7725  Kraft Av,D,22,5,East Valley,
AR-6,Tue,206,7725  Kraft Av,J,22,5,East Valley,
AR-6,Tue,206,7758  Bakman Av,K,22,5,East Valley,
AR-6,Tue,206,11144  Lull St,C,22,6,East Valley,
AR-6,Tue,206,11144  Lull St,E,22,6,East Valley,
AR-6,Tue,206,11157  Lull St,E,22,6,East Valley,
AR-6,Tue,206,11231  Covello St,E,22,6,East Valley,
AR-6,Tue,206,7219  Beck Av,E,22,6,East Valley,
AR-6,Tue,206,7347  Kraft Av,N,22,6,East Valley,
AR-6,Tue,206,7503  Kraft Av,N,22,6,East Valley,
AR-6,Tue,206,7533  Kraft Av,D,22,6,East Valley,
AR-6,Tue,206,7752  Bakman Av,D,22,6,East Valley,
AR-6,Tue,206,7752  Klump Av,E,22,6,East Valley,
AR-6,Tue,206,11030  Keswick St,C,22,7,East Valley,
AR-6,Tue,206,11030  Keswick St,D,22,7,East Valley,
AR-6,Tue,206,11415  Saticoy St,J,22,7,East Valley,
AR-6,Tue,206,7623  Camellia Av,C,22,7,East Valley,
AR-6,Tue,206,7623  Camellia Av,N,22,7,East Valley,
AR-6,Tue,206,7703  Vineland Av,E,22,7,East Valley,
AR-6,Tue,206,7707  Fair Av,J,22,7,East Valley,
AR-6,Tue,206,7718  Banner Av,J,22,7,East Valley,
AR-6,Tue,206,7725  Vineland Av,E,22,7,East Valley,
AR-6,Tue,206,7728  Bakman Av,D,22,7,East Valley,
AR-6,Tue,206,7737  Fair Av,D,22,7,East Valley,
AR-6,Tue,206,7742  Camellia Av,N,22,7,East Valley,
AR-6,Wed,206,14835  Jadestone Dr,D,23,1,East Valley,
AR-6,Wed,206,14835  Jadestone Dr,E,23,1,East Valley,
AR-6,Wed,206,14955  Sutton St,J,23,1,East Valley,
AR-6,Wed,206,15007  Sutton St,H,23,1,East Valley,
AR-6,Wed,206,15140  Sutton St,J,23,1,East Valley,
AR-6,Wed,206,15206  Greenleaf St,J,23,1,East Valley,
AR-6,Wed,206,15228  Greenleaf St,I,23,1,East Valley,
AR-6,Wed,206,15237  Sutton St,D,23,1,East Valley,
AR-6,Wed,206,15237  Sutton St,G,23,1,East Valley,
AR-6,Wed,206,3651  Stone Canyon Av,G,23,1,East Valley,
AR-6,Wed,206,4418  Saugus Av,E,23,1,East Valley,
AR-6,Wed,206,14635  Sutton St,E,23,2,East Valley,
AR-6,Wed,206,14635  Sutton St,J,23,2,East Valley,
AR-6,Wed,206,14646  Sutton St,Q,23,2,East Valley,
AR-6,Wed,206,14717  Sutton St,J,23,2,East Valley,
AR-6,Wed,206,14802  Sutton St,A,23,2,East Valley,
AR-6,Wed,206,14817  Jadestone Dr,D,23,2,East Valley,
AR-6,Wed,206,14817  Jadestone Dr,E,23,2,East Valley,
AR-6,Wed,206,3461  Cody Rd,E,23,2,East Valley,
AR-6,Wed,206,3647  Cody Rd,E,23,2,East Valley,
AR-6,Wed,206,3712  Whitespeak Dr,J,23,2,East Valley,
AR-6,Wed,206,3778  Whitespeak Dr,J,23,2,East Valley,
AR-6,Wed,206,3837  Sherview Dr,C,23,2,East Valley,
AR-6,Wed,206,3837  Sherview Dr,D,23,2,East Valley,
AR-6,Wed,206,14811  Jadestone Dr,D,23,3,East Valley,
AR-6,Wed,206,14811  Jadestone Dr,J,23,3,East Valley,
AR-6,Wed,206,15000  Greenleaf St,J,23,3,East Valley,
AR-6,Wed,206,15004  Greenleaf St,D,23,3,East Valley,
AR-6,Wed,206,15008  Greenleaf St,D,23,3,East Valley,
AR-6,Wed,206,15060  Greenleaf St,E,23,3,East Valley,
AR-6,Wed,206,3619  Loadstone Dr,J,23,3,East Valley,
AR-6,Wed,206,3951  Cody Rd,E,23,3,East Valley,
AR-6,Wed,206,4003  Cody Rd,E,23,3,East Valley,
AR-6,Wed,206,14718  Greenleaf St,J,23,4,East Valley,
AR-6,Wed,206,14754  Greenleaf St,C,23,4,East Valley,
AR-6,Wed,206,14817  Jadestone Dr,D,23,4,East Valley,
AR-6,Wed,206,14911  Greenleaf St,C,23,4,East Valley,
AR-6,Wed,206,14911  Greenleaf St,M,23,4,East Valley,
AR-6,Wed,206,14916  Greenleaf St,D,23,4,East Valley,
AR-6,Wed,206,15004  Greenleaf St,Q,23,4,East Valley,
AR-6,Wed,206,14704  Sutton St,D,23,5,East Valley,
AR-6,Wed,206,14757  Greenfield St,E,23,5,East Valley,
AR-6,Wed,206,14962  Jadestone Dr,D,23,5,East Valley,
AR-6,Wed,206,15053  Sutton St,E,23,5,East Valley,
AR-6,Wed,206,3519  Noble Av,D,23,5,East Valley,
AR-6,Wed,206,14710  Sutton St,C,23,6,East Valley,
AR-6,Wed,206,14710  Sutton St,Q,23,6,East Valley,
AR-6,Wed,206,3527  Loadstone Dr,E,23,6,East Valley,
AR-6,Wed,206,3915  Stone Canyon Av,D,23,6,East Valley,
AR-6,Wed,206,14811  Jadestone Dr,D,23,7,East Valley,
AR-6,Wed,206,14811  Jadestone Dr,J,23,7,East Valley,
AR-6,Wed,206,14905  Jadestone Dr,D,23,7,East Valley,
AR-6,Wed,206,14971  Sutton St,I,23,7,East Valley,
AR-6,Wed,206,15227  Greenfield St,C,23,7,East Valley,
AR-6,Wed,206,3511  Stone Canyon Dr,D,23,7,East Valley,
AR-6,Wed,206,3640  Loeadstone Dr,A,23,7,East Valley,
AR-6,Wed,206,4331  Sutton Pl,C,23,7,East Valley,
AR-6,Thu,206,14619  Tiara St,D,24,1,East Valley,
AR-6,Thu,206,14619  Tiara St,J,24,1,East Valley,
AR-6,Thu,206,14629  Tiara St,E,24,1,East Valley,
AR-6,Thu,206,5631  Tobias Av,D,24,1,East Valley,
AR-6,Thu,206,5631  Tobias Av,J,24,1,East Valley,
AR-6,Thu,206,5655  Vesper Av,E,24,1,East Valley,
AR-6,Thu,206,5656  Halbrent Av,J,24,1,East Valley,
AR-6,Thu,206,5744  Halbrent Av,J,24,1,East Valley,
AR-6,Thu,206,5755  Burnet Av,J,24,1,East Valley,
AR-6,Thu,206,5755  Lemona Av,G,24,1,East Valley,
AR-6,Thu,206,5806  Halbrent Av,G,24,1,East Valley,
AR-6,Thu,206,5806  Halbrent Av,J,24,1,East Valley,
AR-6,Thu,206,5812  Lemona Av,E,24,1,East Valley,
AR-6,Thu,206,5825  Noble Av,G,24,1,East Valley,
AR-6,Thu,206,5836  Halbrent Av,G,24,1,East Valley,
AR-6,Thu,206,5836  Halbrent Av,J,24,1,East Valley,
AR-6,Thu,206,5855  Noble Av,J,24,1,East Valley,
AR-6,Thu,206,5855  Noble Av,L,24,1,East Valley,
AR-6,Thu,206,5855  Noble Av,Q,24,1,East Valley,
AR-6,Thu,206,15145  Martha St,D,24,2,East Valley,
AR-6,Thu,206,18602  Martha St,E,24,2,East Valley,
AR-6,Thu,206,5612  Cedros Av,J,24,2,East Valley,
AR-6,Thu,206,5620  Cedros Av,D,24,2,East Valley,
AR-6,Thu,206,5656  Halbrent Av,J,24,2,East Valley,
AR-6,Thu,206,5659  Bevis Av,J,24,2,East Valley,
AR-6,Thu,206,5659  Kester Av,D,24,2,East Valley,
AR-6,Thu,206,5659  Kester Av,J,24,2,East Valley,
AR-6,Thu,206,5660  Saloma Av,E,24,2,East Valley,
AR-6,Thu,206,5660  Saloma Av,J,24,2,East Valley,
AR-6,Thu,206,5703  Willis Av,J,24,2,East Valley,
AR-6,Thu,206,5729  Cedros Av,E,24,2,East Valley,
AR-6,Thu,206,5733  Cedros Av,D,24,2,East Valley,
AR-6,Thu,206,5733  Cedros Av,G,24,2,East Valley,
AR-6,Thu,206,5733  Cedros Av,L,24,2,East Valley,
AR-6,Thu,206,5738  Natick Av,D,24,2,East Valley,
AR-6,Thu,206,5747  Tobias Av,B,24,2,East Valley,
AR-6,Thu,206,5751  Tobias Av,D,24,2,East Valley,
AR-6,Thu,206,5751  Tobias Av,E,24,2,East Valley,
AR-6,Thu,206,5754  Saloma Av,C,24,2,East Valley,
AR-6,Thu,206,5802  Noble Av,J,24,2,East Valley,
AR-6,Thu,206,5822  Burnet Av,J,24,2,East Valley,
AR-6,Thu,206,5822  Willis Av,D,24,2,East Valley,
AR-6,Thu,206,5825  Noble Av,J,24,2,East Valley,
AR-6,Thu,206,5855  Noble Av,D,24,2,East Valley,
AR-6,Thu,206,5855  Noble Av,J,24,2,East Valley,
AR-6,Thu,206,14612  Martha St,J,24,3,East Valley,
AR-6,Thu,206,5616  Cedros Av,N,24,3,East Valley,
AR-6,Thu,206,5700 N Cedros Av,J,24,3,East Valley,
AR-6,Thu,206,5732  Willis Av,J,24,3,East Valley,
AR-6,Thu,206,5758  Natick Av,E,24,3,East Valley,
AR-6,Thu,206,5758  Natick Av,I,24,3,East Valley,
AR-6,Thu,206,5806  Halbrent Av,J,24,3,East Valley,
AR-6,Thu,206,5812  Norwich Av,D,24,3,East Valley,
AR-6,Thu,206,5825  Noble Av,J,24,3,East Valley,
AR-6,Thu,206,5831  Burnet Av,J,24,3,East Valley,
AR-6,Thu,206,5841  Saloma Av,E,24,3,East Valley,
AR-6,Thu,206,5842  Halbrent Av,J,24,3,East Valley,
AR-6,Thu,206,5855  Burnet Av,D,24,3,East Valley,
AR-6,Thu,206,5855  Burnet Av,J,24,3,East Valley,
AR-6,Thu,206,5855  Noble Av,D,24,3,East Valley,
AR-6,Thu,206,5855  Noble Av,J,24,3,East Valley,
AR-6,Thu,206,14536  Martha St,J,24,4,East Valley,
AR-6,Thu,206,14618  Martha St,D,24,4,East Valley,
AR-6,Thu,206,5631  Tobias Av,D,24,4,East Valley,
AR-6,Thu,206,5631  Tobias Av,N,24,4,East Valley,
AR-6,Thu,206,5643  Norwich Av,J,24,4,East Valley,
AR-6,Thu,206,5643  Norwich Av,Q,24,4,East Valley,
AR-6,Thu,206,5646  Bevis Av,C,24,4,East Valley,
AR-6,Thu,206,5660  Kester Av,D,24,4,East Valley,
AR-6,Thu,206,5706  Bevis Av,D,24,4,East Valley,
AR-6,Thu,206,5713  Kester Av,D,24,4,East Valley,
AR-6,Thu,206,5713  Kester Av,J,24,4,East Valley,
AR-6,Thu,206,5716  Bevis Av,I,24,4,East Valley,
AR-6,Thu,206,5716  Bevis Av,J,24,4,East Valley,
AR-6,Thu,206,5723  Kester Av,D,24,4,East Valley,
AR-6,Thu,206,5723  Kester Av,J,24,4,East Valley,
AR-6,Thu,206,5727  Tobias Av,J,24,4,East Valley,
AR-6,Thu,206,5731  Kester Av,D,24,4,East Valley,
AR-6,Thu,206,5731  Kester Av,J,24,4,East Valley,
AR-6,Thu,206,5732  Bevis Av,D,24,4,East Valley,
AR-6,Thu,206,5732  Willis Av,N,24,4,East Valley,
AR-6,Thu,206,5732  Willis Av,O,24,4,East Valley,
AR-6,Thu,206,5741  Lemona Av,D,24,4,East Valley,
AR-6,Thu,206,5747  Bevis Av,E,24,4,East Valley,
AR-6,Thu,206,5748  Halbrent Av,E,24,4,East Valley,
AR-6,Thu,206,5752  Cedros Av,E,24,4,East Valley,
AR-6,Thu,206,5758  Natick Av,Q,24,4,East Valley,
AR-6,Thu,206,5806  Lemona Av,E,24,4,East Valley,
AR-6,Thu,206,5823  Cedros Av,D,24,4,East Valley,
AR-6,Thu,206,5829  Tobias Av,E,24,4,East Valley,
AR-6,Thu,206,5843  Cedros Av,E,24,4,East Valley,
AR-6,Thu,206,5843  Cedros Av,M,24,4,East Valley,
AR-6,Thu,206,5843  Cedros Av,N,24,4,East Valley,
AR-6,Thu,206,5854  Kester Av,J,24,4,East Valley,
AR-6,Thu,206,5855  Kester Av,E,24,4,East Valley,
AR-6,Thu,206,5855  Natick Av,G,24,4,East Valley,
AR-6,Thu,206,5855  Natick Av,L,24,4,East Valley,
AR-6,Thu,206,5903  Cedros Av,J,24,4,East Valley,
AR-6,Thu,206,5909  Cedros Av,J,24,4,East Valley,
AR-6,Thu,206,14629  Tiara St,E,24,5,East Valley,
AR-6,Thu,206,14715  Burbank Bl,D,24,5,East Valley,
AR-6,Thu,206,14715  Burbank Bl,J,24,5,East Valley,
AR-6,Thu,206,5640  Burnet Av,A,24,5,East Valley,
AR-6,Thu,206,5640  Burnet Av,E,24,5,East Valley,
AR-6,Thu,206,5643  Norwick Av,J,24,5,East Valley,
AR-6,Thu,206,5643  Norwick Av,Q,24,5,East Valley,
AR-6,Thu,206,5749  Burnet Av,J,24,5,East Valley,
AR-6,Thu,206,5806  Noble Av,J,24,5,East Valley,
AR-6,Thu,206,5806  Noble Av,L,24,5,East Valley,
AR-6,Thu,206,5855  Noble Av,J,24,5,East Valley,
AR-6,Thu,206,5855  Noble Av,L,24,5,East Valley,
AR-6,Thu,206,5857  Natick Av,D,24,5,East Valley,
AR-6,Thu,206,5939  Vesper Av,Q,24,5,East Valley,
AR-6,Thu,206,15206  Martha St,E,24,6,East Valley,
AR-6,Thu,206,5631  Columbus Av,D,24,6,East Valley,
AR-6,Thu,206,5742  Willis Av,Q,24,6,East Valley,
AR-6,Thu,206,5745  Saloma Av,D,24,6,East Valley,
AR-6,Thu,206,5822  Burnet Av,N,24,6,East Valley,
AR-6,Thu,206,5855  Noble Av,D,24,6,East Valley,
AR-6,Thu,206,5855  Noble Av,J,24,6,East Valley,
AR-6,Fri,206,12754  Tonopah St,J,25,1,East Valley,
AR-6,Fri,206,12912  Crowley St,D,25,1,East Valley,
AR-6,Fri,206,12921  Crowley St,I,25,1,East Valley,
AR-6,Fri,206,12923  Crowley St,J,25,1,East Valley,
AR-6,Fri,206,13009  Wentworth St,J,25,1,East Valley,
AR-6,Fri,206,13017  Wentworth St,D,25,1,East Valley,
AR-6,Fri,206,13041 W Wentworth St,E,25,1,East Valley,
AR-6,Fri,206,13045  Muscatine St,J,25,1,East Valley,
AR-6,Fri,206,13052  Ottoman St,D,25,1,East Valley,
AR-6,Fri,206,13071 W Rangoon St,A,25,1,East Valley,
AR-6,Fri,206,13071 W Rangoon St,J,25,1,East Valley,
AR-6,Fri,206,13105 W Rangoon St,J,25,1,East Valley,
AR-6,Fri,206,13118 W Rangoon St,I,25,1,East Valley,
AR-6,Fri,206,13123 W Rangoon St,G,25,1,East Valley,
AR-6,Fri,206,13123 W Rangoon St,J,25,1,East Valley,
AR-6,Fri,206,13130  Ottoman St,J,25,1,East Valley,
AR-6,Fri,206,13130 W Muscatine St,J,25,1,East Valley,
AR-6,Fri,206,13140  Ottoman St,D,25,1,East Valley,
AR-6,Fri,206,13142 W Muscatine St,J,25,1,East Valley,
AR-6,Fri,206,13189 W Ottoman St,E,25,1,East Valley,
AR-6,Fri,206,8947  Bartee Av,D,25,1,East Valley,
AR-6,Fri,206,8974  Bartee Av,E,25,1,East Valley,
AR-6,Fri,206,8975  Bartee Av,Q,25,1,East Valley,
AR-6,Fri,206,9012  Patrick St,D,25,1,East Valley,
AR-6,Fri,206,9068  Bartee Av,C,25,1,East Valley,
AR-6,Fri,206,9069 N Stanwin Av,J,25,1,East Valley,
AR-6,Fri,206,9085  Bartee Av,D,25,1,East Valley,
AR-6,Fri,206,9111  Lev Av,I,25,1,East Valley,
AR-6,Fri,206,9113  Bartee Av,E,25,1,East Valley,
AR-6,Fri,206,9121  Lev Av,D,25,1,East Valley,
AR-6,Fri,206,9159  Sharp Av,C,25,1,East Valley,
AR-6,Fri,206,9168  Vena Av,J,25,1,East Valley,
AR-6,Fri,206,9216  Vena Av,E,25,1,East Valley,
AR-6,Fri,206,12740  Tonopah St,D,25,2,East Valley,
AR-6,Fri,206,12754  Tonopah St,D,25,2,East Valley,
AR-6,Fri,206,12754  Tonopah St,J,25,2,East Valley,
AR-6,Fri,206,13029  Crowley St,D,25,2,East Valley,
AR-6,Fri,206,13029  Crowley St,J,25,2,East Valley,
AR-6,Fri,206,13066  Relliance St,D,25,2,East Valley,
AR-6,Fri,206,13088  Ottoman St,I,25,2,East Valley,
AR-6,Fri,206,13101  Rangoon St,N,25,2,East Valley,
AR-6,Fri,206,13112  Rangoon St,J,25,2,East Valley,
AR-6,Fri,206,13132  Rangoon St,J,25,2,East Valley,
AR-6,Fri,206,13246  Bromwich St,D,25,2,East Valley,
AR-6,Fri,206,13246  Bromwich St,J,25,2,East Valley,
AR-6,Fri,206,13276  Bromwich St,C,25,2,East Valley,
AR-6,Fri,206,8920  Flashman Av,D,25,2,East Valley,
AR-6,Fri,206,8922  Lev Av,D,25,2,East Valley,
AR-6,Fri,206,8923  Flashman Av,D,25,2,East Valley,
AR-6,Fri,206,8923  Flashman Av,E,25,2,East Valley,
AR-6,Fri,206,8937  Stanwin Av,J,25,2,East Valley,
AR-6,Fri,206,8946  Bartee Av,E,25,2,East Valley,
AR-6,Fri,206,8947  Bartee Av,J,25,2,East Valley,
AR-6,Fri,206,9001  Patrick Av,J,25,2,East Valley,
AR-6,Fri,206,9030  Lev Av,D,25,2,East Valley,
AR-6,Fri,206,9076  Lev Av,E,25,2,East Valley,
AR-6,Fri,206,9084  Bartee Av,D,25,2,East Valley,
AR-6,Fri,206,9084  Bartee Av,J,25,2,East Valley,
AR-6,Fri,206,9118  Lev Av,C,25,2,East Valley,
AR-6,Fri,206,9124  Bartee Av,E,25,2,East Valley,
AR-6,Fri,206,9126  Patrick Av,E,25,2,East Valley,
AR-6,Fri,206,9126  Patrick Av,Q,25,2,East Valley,
AR-6,Fri,206,9133  Vena Av,K,25,2,East Valley,
AR-6,Fri,206,9139  Lev Av,J,25,2,East Valley,
AR-6,Fri,206,9149  Patrick Av,C,25,2,East Valley,
AR-6,Fri,206,9149  Patrick Av,D,25,2,East Valley,
AR-6,Fri,206,9155  Vena Av,D,25,2,East Valley,
AR-6,Fri,206,9155  Vena Av,E,25,2,East Valley,
AR-6,Fri,206,9168  Vena Av,D,25,2,East Valley,
AR-6,Fri,206,9190  Vena Av,D,25,2,East Valley,
AR-6,Fri,206,9237  Stanwin Av,D,25,2,East Valley,
AR-6,Fri,206,9301  Stanwin Av,G,25,2,East Valley,
AR-6,Fri,206,9301  Stanwin Av,J,25,2,East Valley,
AR-6,Fri,206,9321  Stanwin Av,J,25,2,East Valley,
AR-6,Fri,206,12866  Crowley St,G,25,3,East Valley,
AR-6,Fri,206,12975  Crowley St,D,25,3,East Valley,
AR-6,Fri,206,12982  Crowley St,E,25,3,East Valley,
AR-6,Fri,206,12990  Crowley St,J,25,3,East Valley,
AR-6,Fri,206,12994  Wentworth St,I,25,3,East Valley,
AR-6,Fri,206,13049  Muscatine St,D,25,3,East Valley,
AR-6,Fri,206,13114  Bracken St,D,25,3,East Valley,
AR-6,Fri,206,13114  Bracken St,E,25,3,East Valley,
AR-6,Fri,206,13121  Bracken St,D,25,3,East Valley,
AR-6,Fri,206,13121  Bracken St,Q,25,3,East Valley,
AR-6,Fri,206,13155  Bracken St,D,25,3,East Valley,
AR-6,Fri,206,13170  Debell St,G,25,3,East Valley,
AR-6,Fri,206,13170  Debell St,J,25,3,East Valley,
AR-6,Fri,206,13178  Montague St,I,25,3,East Valley,
